 Theta0                      Busca Direta              Integral Elíptica         Aproximação ângulos pequenos   
   8.7266462599716474E-002   6.3000000000000007        5.8719025654995560        6.2861758817050779     
  0.17453292519943295        6.3000000000000007        5.9953882422420390        6.2951476052815529     
  0.26179938779914941        6.3000000000000007        6.0944095441157771        6.3101004779090131     
  0.34906585039886590        6.3000000000000007        6.1824212066234177        6.3310344995874566     
  0.43633231299858238        6.3000000000000007        6.2648281189161805        6.3579496703168825     
  0.52359877559829882        6.4000000000000004        6.3445391737864627        6.3908459900972945     
  0.61086523819801530        6.4000000000000004        6.4234033509347892        6.4297234589286889     
  0.69813170079773179        6.5000000000000000        6.5027417703838761        6.4745820768110658     
  0.78539816339744828        6.6000000000000014        6.5835893651744630        6.5254218437444287     
  0.87266462599716477        6.6000000000000014        6.6668213887204546        6.5822427597287749     
  0.95993108859688125        6.6000000000000005        6.7532277040250781        6.6450448247641036     
   1.0471975511965976        6.7000000000000002        6.8435613056967757        6.7138280388504166     
   1.1344640137963140        6.7999999999999998        6.9385736625262897        6.7885924019877129     
   1.2217304763960304        7.0000000000000009        7.0390435627041175        6.8693379141759943     
   1.3089969389957468        7.0000000000000009        7.1458034851946532        6.9560645754152590     
